seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
1001,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1002,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1003,500000,6,0.3333233333333333,0.11110444444444448,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99992,0.0017479861428385394,0.41666666666666663,1,focal_equal_price
1004,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1005,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.833333), np.float64(0.166667))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
1006,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1007,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1008,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1009,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1010,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.15023130314433286,0.41666666666666663,25000,cycling/asymmetric
1011,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1012,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1013,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1014,500000,6,0.5833333333333333,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.5))",0.25,0.1767766952966369,0.49999999999999994,49999,cycling/asymmetric
1015,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1016,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1017,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1018,500000,6,0.45914666666666665,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.16200104471542426,0.5,12744,cycling/asymmetric
1019,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1020,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1021,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1022,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
1023,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(1.0))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
1024,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
1025,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
