seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
228,500000,6,0.5000033333333332,0.125,0.99996,0.99996,"(np.float64(0.5), np.float64(0.5))",0.99996,0.0005270357356637841,0.08333333333333326,0,monopoly_regime
229,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
230,500000,6,0.33332,0.11110500000000001,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99992,0.001581082610815204,0.25,0,focal_equal_price
231,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
232,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
233,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
234,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
235,500000,6,0.33334333333333327,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99996,0.0015811072069913535,0.24999999999999994,2,focal_equal_price
236,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
237,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
238,500000,6,0.45833333333333337,0.09027777777777779,0.0,0.0,"(np.float64(0.666667), np.float64(0.666667))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
239,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
240,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
241,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
